Event,Date,Status,Tickets Sold,Tickets Available
AIM Heartland Developers Conference (HDC) 2018,"Wednesday, September 5, 2018 8:00 AM",Past,735,685
Interface October Info Session,"Wednesday, October 10, 2018 7:00 PM",Past,0,20
AIM 2018 IT Emerging Leaders Program - Fall Session,"Thursday, October 18, 2018 12:00 PM",Past,13,27
Interface December Info Session,"Wednesday, December 12, 2018 7:00 PM",Past,12,8
Interface January Info Session,"Wednesday, January 9, 2019 7:00 PM",Past,3,17
Interface February Info Session,"Wednesday, February 13, 2019 7:00 PM",Past,5,15
Interface March Info Session,"Wednesday, March 13, 2019 7:00 PM",Past,7,13
Infotec 2019,"Monday, April 1, 2019 8:30 AM",Past,700,370
Interface April Info Session,"Wednesday, April 17, 2019 7:00 PM",Past,6,14
AIM IT Emerging Leaders Program - Spring Session,"Thursday, April 25, 2019 12:00 PM",Past,21,11
Interface Info Session - May 8th,Repeating Event,Past,0,40
Interface Info Session - May 22nd,Repeating Event,Past,0,40
Interface Intro to HTML & CSS Workshop,"Saturday, May 25, 2019 9:00 AM",Past,7,13
Interface Info Session - June 12th,Repeating Event,Past,0,40
Interface Info Session - June 26th,Repeating Event,Past,0,40
Interface Info Session - July 10th,Repeating Event,Past,0,20
Interface Info Session - July 24th,Repeating Event,Past,0,20
AIM Code School Info Session - August 14th,"Wednesday, August 14, 2019 12:00 PM",Past,4,16
AIM Code School Info Session - August 28th,"Wednesday, August 28, 2019 12:00 PM",Past,1,19
AIM Heartland Developers Conference (HDC) 2019,"Wednesday, September 4, 2019 7:00 AM",Past,785,515
AIM Code School  Info Session - September 11th,"Wednesday, September 11, 2019 7:00 PM",Past,1,19
AIM Code School Info Session - September 25th,"Wednesday, September 25, 2019 7:00 PM",Past,5,15
AIM Code School Info Session - October 9th,"Wednesday, October 9, 2019 7:00 PM",Past,2,18
AIM 2019 IT Emerging Leaders Program - Fall Session,"Thursday, October 17, 2019 12:00 PM",Past,12,13
AIM Code School Info Session - October 23rd,"Wednesday, October 23, 2019 7:00 PM",Past,1,19
AIM 2019 Tech Celebration,"Thursday, November 14, 2019 5:30 PM",Past,519,121
AIM Code School Info Session,"Thursday, February 27, 2020 5:30 PM",Past,0,50
AIM Code School Info Session,"Saturday, February 29, 2020 9:00 AM",Past,0,50
AIM Code School Info Session,"Wednesday, March 4, 2020 5:00 PM",Past,0,50
AIM Code School Info Session,"Friday, March 6, 2020 12:00 PM",Past,1,49
AIM Code School Info Session,"Tuesday, March 10, 2020 12:00 PM",Past,1,49
AIM Code School Info Session,"Thursday, March 12, 2020 5:00 PM",Past,1,49
AIM Code School Info Session,"Monday, March 16, 2020 5:00 PM",Past,0,50
AIM IT Emerging Leaders Program - Spring Session Online ,"Thursday, May 7, 2020 1:00 PM",Past,26,4
3 Hour Intro to Web Development Workshop - Tuesday,Repeating Event,Past,0,20
AIM Leadership Academy Happy Hour,"Thursday, July 30, 2020 4:00 PM",Past,11,89
AIM Tech Leadership Happy Hour,"Thursday, August 27, 2020 4:00 PM",Past,40,60
3 Hour Intro to Web Development Workshop,Repeating Event,Past,0,20
AIM Emerging Tech Leaders Academy  -  Online Fall  Session,"Thursday, September 17, 2020 1:00 PM",Past,16,14
AIM Heartland Developers Conference (HDC) 2020,"Thursday, September 24, 2020 8:30 AM",Past,1481,1275
Introduction to Technology Class,"Saturday, October 3, 2020 8:00 AM",Past,6,44
Introduction to Technology Class,Repeating Event,Past,0,15
Managing IT for the non-IT Leader,"Thursday, November 5, 2020 1:00 PM",Past,0,30
AIM Infotec 2020,"Friday, November 13, 2020 8:00 AM",Past,129,3506
AIM Tech Celebration 2020,"Thursday, December 3, 2020 5:00 PM",Past,4,596
3 Hour Intro to Web Development Workshop,"Saturday, December 12, 2020 9:00 AM",Past,23,77
3 Hour Intro to Web Development Workshop,Repeating Event,Past,0,20
Introduction to Technology Class,"Monday, January 18, 2021 5:30 PM",Past,13,37
Introduction to Technology Class-February 2021,"Monday, February 8, 2021 1:00 PM",Past,18,32
Introduction to Technology Class-February 2021-Weekend,"Saturday, February 27, 2021 9:00 AM",Past,30,20
Introduction to Technology Class-March 2021,"Monday, March 1, 2021 5:30 PM",Past,9,41
Copy of Introduction to Technology Class-April 2021,"Monday, April 5, 2021 1:00 PM",Past,10,40
Introduction to Technology Class-April Day 2021,"Monday, April 19, 2021 8:00 AM",Past,3,47
Introduction to Technology Class-May 2021,"Monday, May 3, 2021 5:30 PM",Past,6,44
AIM Emerging Tech Leaders Academy - Spring Session Online,"Thursday, May 6, 2021 1:00 PM",Past,31,9
Introduction to Technology Class-May 2021-Weekend,"Saturday, May 15, 2021 9:00 AM",Past,5,45
Introduction to Technology Class-June 2021,"Monday, June 7, 2021 1:00 PM",Past,13,37
AIM Tech Leadership Happy Hour,"Thursday, July 8, 2021 4:00 PM",Past,16,84
Introduction to Technology Class-July Day 2021,"Monday, July 12, 2021 8:00 AM",Past,18,32
Introduction to Technology Class-July 2021-Weekend,"Saturday, July 24, 2021 9:00 AM",Past,7,43
Introduction to Technology Class-July afternoon 2021,"Monday, July 26, 2021 1:00 PM",Past,2,48
Introduction to Technology Class-August 2021,"Monday, August 2, 2021 5:30 PM",Past,10,40
Introduction to Technology Class-August Wednesday 2021,"Wednesday, August 11, 2021 5:30 PM",Past,6,44
Introduction to Technology Class-August 2021 (2),"Monday, August 16, 2021 5:30 PM",Past,0,50
Introduction to Technology Class-September 2021-Weekend,"Saturday, September 11, 2021 9:00 AM",Past,0,50
Introduction to Technology Class-September 2021,"Monday, September 13, 2021 1:00 PM",Past,4,46
AIM Emerging Tech Leaders Fall Academy,"Thursday, September 16, 2021 1:00 PM",Past,4,46
Introduction to Technology Class-September Tuesday 2021,"Tuesday, September 21, 2021 5:30 PM",Past,4,46
Introduction to Technology Class-October 2021,"Monday, October 4, 2021 8:00 AM",Past,7,43
Introduction to Technology Class-October 2021-Weekend,"Saturday, October 16, 2021 9:00 AM",Past,1,49
Heartland Developer Conference Presented by Farm Credit Services of America,"Monday, November 1, 2021 8:00 AM",Past,658,1042
Introduction to Technology Class-November 2021,"Monday, November 1, 2021 5:30 PM",Past,0,50
2021 AIM Tech Awards  | Presented by Cox Business,"Thursday, November 11, 2021 5:30 PM",Past,335,1185
Introduction to Technology Class-November 2021 (2),"Monday, November 15, 2021 5:30 PM",Past,0,50
Introduction to Technology Class-December 2021 (2),"Monday, December 13, 2021 1:00 PM",Past,0,50
Introduction to Technology Class-December 2021,"Monday, December 6, 2021 5:30 PM",Canceled,0,50
